Trial,Reference_Distance_cm,Tape_Reading_cm,Error_cm,Notes
1,169.6,169.1,0.5,
2,169.6,169.5,0.1,
3,169.6,169,0.6,
4,169.6,168.9,0.7,
5,169.6,169.2,0.4,
6,169.6,169.3,0.3,
7,169.6,169.4,0.2,
8,169.6,168.9,0.7,
9,169.6,169.2,0.4,
10,169.6,169.1,0.5,
11,169.6,169.4,0.2,
12,169.6,169.3,0.3,
13,169.6,169.3,0.3,
14,169.6,169.3,0.3,
15,169.6,169.3,0.3,
16,169.6,169.5,0.1,
17,169.6,169.4,0.2,
18,169.6,169.1,0.5,
19,169.6,169.2,0.4,
20,169.6,169.1,0.5,
21,169.6,169.5,0.1,
22,169.6,169.8,-0.2,
23,169.6,169.4,0.2,
24,169.6,169.4,0.2,
25,169.6,169.5,0.1,
26,169.6,169.6,0,
27,169.6,169.5,0.1,
28,169.6,169.4,0.2,
29,169.6,169.3,0.3,
30,169.6,169.2,0.4,
31,169.6,169.5,0.1,
32,169.6,169.1,0.5,
33,169.6,169.7,-0.1,
34,169.6,169.4,0.2,
35,169.6,169.5,0.1,
36,169.6,169.7,-0.1,
37,169.6,169.6,0,
38,169.6,169.5,0.1,
39,169.6,169.2,0.4,
40,169.6,169.1,0.5,
41,169.6,169.1,0.5,
42,169.6,169.5,0.1,
43,169.6,169.7,-0.1,
44,169.6,169.2,0.4,
45,169.6,169.4,0.2,
46,169.6,169.1,0.5,
47,169.6,169.3,0.3,
48,169.6,169.4,0.2,
49,169.6,169.2,0.4,
50,169.6,169.3,0.3,
